2017-02-15 20:19:50 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2017-02-15 20:19:50 install libdevmapper1.02.1:amd64 <none> 2:1.02.110-1ubuntu10
2017-02-15 20:19:50 status half-installed libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2017-02-15 20:19:50 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2017-02-15 20:19:50 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2017-02-15 20:19:50 install libfdisk1:amd64 <none> 2.27.1-6ubuntu3
2017-02-15 20:19:50 status half-installed libfdisk1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:50 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:50 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:50 install libgcc1:amd64 <none> 1:6.0.1-0ubuntu1
2017-02-15 20:19:50 status half-installed libgcc1:amd64 1:6.0.1-0ubuntu1
2017-02-15 20:19:50 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2017-02-15 20:19:50 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2017-02-15 20:19:50 install libgcrypt20:amd64 <none> 1.6.5-2
2017-02-15 20:19:50 status half-installed libgcrypt20:amd64 1.6.5-2
2017-02-15 20:19:50 status unpacked libgcrypt20:amd64 1.6.5-2
2017-02-15 20:19:50 status unpacked libgcrypt20:amd64 1.6.5-2
2017-02-15 20:19:50 install libgpg-error0:amd64 <none> 1.21-2ubuntu1
2017-02-15 20:19:50 status half-installed libgpg-error0:amd64 1.21-2ubuntu1
2017-02-15 20:19:50 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2017-02-15 20:19:50 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2017-02-15 20:19:50 install libkmod2:amd64 <none> 22-1ubuntu4
2017-02-15 20:19:50 status half-installed libkmod2:amd64 22-1ubuntu4
2017-02-15 20:19:50 status unpacked libkmod2:amd64 22-1ubuntu4
2017-02-15 20:19:50 status unpacked libkmod2:amd64 22-1ubuntu4
2017-02-15 20:19:50 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2017-02-15 20:19:50 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-02-15 20:19:51 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-02-15 20:19:51 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-02-15 20:19:51 install libmount1:amd64 <none> 2.27.1-6ubuntu3
2017-02-15 20:19:51 status half-installed libmount1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:51 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:51 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:51 install libncurses5:amd64 <none> 6.0+20160213-1ubuntu1
2017-02-15 20:19:51 status half-installed libncurses5:amd64 6.0+20160213-1ubuntu1
2017-02-15 20:19:51 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2017-02-15 20:19:51 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2017-02-15 20:19:51 install libncursesw5:amd64 <none> 6.0+20160213-1ubuntu1
2017-02-15 20:19:51 status half-installed libncursesw5:amd64 6.0+20160213-1ubuntu1
2017-02-15 20:19:51 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2017-02-15 20:19:51 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2017-02-15 20:19:51 install libpam-modules:amd64 <none> 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status half-installed libpam-modules:amd64 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 install libpam-modules-bin:amd64 <none> 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status half-installed libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 install libpam0g:amd64 <none> 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2017-02-15 20:19:51 install libpcre3:amd64 <none> 2:8.38-3.1
2017-02-15 20:19:51 status half-installed libpcre3:amd64 2:8.38-3.1
2017-02-15 20:19:52 status unpacked libpcre3:amd64 2:8.38-3.1
2017-02-15 20:19:52 status unpacked libpcre3:amd64 2:8.38-3.1
2017-02-15 20:19:52 install libprocps4:amd64 <none> 2:3.3.10-4ubuntu2
2017-02-15 20:19:52 status half-installed libprocps4:amd64 2:3.3.10-4ubuntu2
2017-02-15 20:19:52 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2017-02-15 20:19:52 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2017-02-15 20:19:52 install libseccomp2:amd64 <none> 2.2.3-3ubuntu3
2017-02-15 20:19:52 status half-installed libseccomp2:amd64 2.2.3-3ubuntu3
2017-02-15 20:19:52 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2017-02-15 20:19:52 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2017-02-15 20:19:52 install libselinux1:amd64 <none> 2.4-3build2
2017-02-15 20:19:52 status half-installed libselinux1:amd64 2.4-3build2
2017-02-15 20:19:52 status unpacked libselinux1:amd64 2.4-3build2
2017-02-15 20:19:52 status unpacked libselinux1:amd64 2.4-3build2
2017-02-15 20:19:52 install libsemanage-common:all <none> 2.3-1build3
2017-02-15 20:19:52 status half-installed libsemanage-common:all 2.3-1build3
2017-02-15 20:19:52 status unpacked libsemanage-common:all 2.3-1build3
2017-02-15 20:19:52 status unpacked libsemanage-common:all 2.3-1build3
2017-02-15 20:19:52 install libsemanage1:amd64 <none> 2.3-1build3
